Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
"[4-(1H-imidazo[4,5-f][1,10]phenanthrolin-2-yl)-N,N-dimethylanilinate",,,,,
2-(pyridin-4-yl)malonaldehydate,,,,,
2-(pyridin-4-yl)malonaldehydate,,,,,
oxo,"4,4'-bipyridine",oxo)-dodecaoxo-di--hepta-(i,,,
oxo,"4,4'-bipyridine",oxo)-dodecaoxo-di--hepta-(i,,,
oxo,"4,4'-bipyridine",oxo)-dodecaoxo-di--hepta-(i,,,
oxo,"4,4'-bipyridine",oxo)-dodecaoxo-di--hepta-(i,,,
"u1-1,7-bis(4-carboxylatephenoxy)-2,2,6,6-tetrakis((4-carboxylatephenoxy)methyl)-4-oxahepta",,,,,
"u1-1,7-bis(4-carboxylatephenoxy)-2,2,6,6-tetrakis((4-carboxylatephenoxy)methyl)-4-oxahepta",,,,,
carbonate,fluoro,,,,
"u1-1,7-bis(4-carboxylatephenoxy)-2,2,6,6-tetrakis((4-carboxylatephenoxy)methyl)-4-oxahepta",,,,,
"5-amino-2,4,6-triiodoisophthalate","1,1'-butane-1,4-diylbis(2-methyl-1H-imidazole)",,,,
"2,5-diaminobenzene-1,4-dicarboxylate",tetrakis(Imidazol-1-yl)borate,,,,
"naphthalene-2,6-dicarboxylate",,,,,
aqua,"1,1'-(1,4-phenylene)bis(1H-imidazole)",2-(hydrogen,,,
tetrakis(imidazolyl)borate,,,,,
"1,1'-butane-1,4-diylbis(2-methyl-1H-imidazole)",5-t-butylisophthalate,,,,
"1,1'-(1,4-phenylene)bis(1H-imidazole)",2-sulfonateterephthalate,,,,
hydrogen3-phosphonatepropanoate,"3-phosphonatepropanoate)-tetrakis(1,10-phenanthrolin",,,,
"2,2'-((1,1,1,3,3,3-hexafluoropropane-2,2-diyl)bis(4,1-phenyleneoxy))diacetate)-(1,10-phenanthrolin",,,,,
"4,4'-bipyridine","2,2'-{(1,1,1,3,3,3-hexafluoropropane-2,2-diyl)bis[(4,1-phenylene)oxy]}diacetate",,,,
"4,4'-carbonyldibenzoate","5,5'-(1,4-phenylene)di(1H-imidazole)",,,,
"5-carboxybiphenyl-2,4'-dicarboxylate","5,5'-(1,4-phenylene)di(1H-imidazole)",,,,
