,0
106,"catena-(bis(mu!7$-2-Sulfonylterephthalato)-(mu!2$-1,4-diazabicyclo(2.2.2)octane)-diaqua-di-cadmium(ii)-di-sodium(i) tetrahydrate)"
107,"catena-[bis(mu-azido)-(mu-1,1'-bis(3,5-dicarboxylatobenzyl)-4,4'-bipyridinium)-diaqua-di-manganese(ii) trihydrate]"
108,"catena-[tetrakis(mu-azido)-(mu-1,1'-bis(3,5-dicarboxylatobenzyl)-4,4'-bipyridinium)-tri-cobalt(ii)]"
109,"catena-(bis(mu!4$-4,5-imidazoledicarboxylato)-tetra-aqua-tri-manganese)"
110,"catena-(bis(mu-4,5-dicarboxylatoimidazolato)-tetra-aqua-tri-manganese)"
111,"catena-[(mu-4,4',4'',4'''-(ethene-1,1,2,2-tetrayl)tetrabenzoato)-tetra-aqua-tetra-silver(i) unknown solvate]"
112,"catena-[(mu-4,4',4'',4'''-(ethene-1,1,2,2-tetrayl)tetrabenzoato)-tetra-silver(i) bis(2-methyl-4-phenylbut-3-yn-2-ol) dichloromethane solvate]"
113,"catena-(bis(mu!3$-tetrazole-5-carboxylato)-(mu!2$-4,4'-propane-1,3-diyldipyridine)-di-copper)"
114,"catena-(bis(mu!3$-tetrazole-5-carboxylato)-(mu!2$-4,4'-propane-1,3-diyldipyridine)-di-copper)"
115,"catena-(bis(mu!3$-tetrazole-5-carboxylato)-(mu!2$-4,4'-propane-1,3-diyldipyridine)-di-copper carbon dioxide)"
116,"catena-(bis(mu!3$-tetrazole-5-carboxylato)-(mu!2$-4,4'-propane-1,3-diyldipyridine)-di-copper carbon dioxide)"
117,"catena-(bis(mu!3$-tetrazole-5-carboxylato)-(mu!2$-4,4'-propane-1,3-diyldipyridine)-di-copper trihydrate)"
118,"catena-[(mu-2,2',7,7'-tetrakis(4-carboxylatophenyl)-9,9'-Spirobi[fluorene])-tetrakis(mu-oxo)-tetra-aqua-tri-zirconium(iv)]"
119,"catena-((mu!12$-5,5',5''-(Benzene-1,3,5-triyltris(methyleneoxy))-tri-isophthalato)-hexa-aqua-hexa-copper)"
120,"catena-(bis(mu!12$-5,5',5''-(1,3,5-benzenetriyltris(methyleneoxy))-tris(1,3-benzenedicarboxylato))-tetrakis(dimethylformamide)-diaqua-hexa-zinc)"
121,"catena-(bis(mu!12$-5,5',5''-(Benzene-1,3,5-triyltris(methyleneoxy-4,1-phenylenediazene-2,1-diyl))triisophthalato)-hexa-aqua-hexa-zinc)"
122,"catena-(hexakis(mu!6$-5'-(4-(1H-tetrazol-5-yl)benzamido)benzene-1,3-dioato)-bis(mu!3$-oxo)-tetracosa-aqua-dodeca-copper)"
123,catena-((mu!3$-tris(4-(1-(2-pyridin-2-ylhydrazono)ethyl)-phenyl)amine)-silver tetrafluoroborate acetonitrile dichloromethane solvate monohydrate)
124,"catena-(bis(mu!4$-terephthalato)-(mu!4$-4,4'-bipyridine1,1'-dioxide)-di-cobalt(ii) terephthalic acid methanol solvate)"
125,"catena-(bis(mu!4$-terephthalato)-(mu!4$-4,4'-bipyridine1,1'-dioxide)-di-cobalt(ii) N,N-dimethylformamide solvate)"
126,"catena-[bis(mu-4-(3-(pyridin-4-yloxy)-2,2-bis((pyridin-4-yloxy)methyl)propoxy)pyridine)-tetrakis(mu-naphthalene-2,6-dicarboxylato)-tetra-zinc(ii) hydrate]"
127,"catena-[tetrakis(dimethylammonium)bis(mu-triphenylene-2,6,10-tricarboxylato)-dichloro-di-cadmium(ii) N,N-dimethylformamide 1,4-dioxane solvate hexahydrate]"
128,"catena-((mu!4$-Benzene-1,4-dicarboxylato)-bis(mu!2$-benzene-1,4-dicarboxylato)-diaqua-bis(N,N-dimethylformamide)-di-gadolinium(iii))"
129,"catena-[tris(mu-terephthalato)-diaqua-bis(N,N-dimethylformamide)-di-gadolinium]"
