code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
JAXNUU,catena-[(mu-5-(pyridin-4-yl)tetrazolato)-copper unknown solvate],5-(pyridin-4-yl)tetrazolate,,,,,,,,cobalt,"['unknown', 'solvate]']"
JAXZUG,"catena-[(mu-5,5',5''-(1,3,5-triazine-2,4,6-triyltriazanediyl)tris(benzene-1,3-dicarboxylato))-yttrium(iii) trihydrate]","5,5',5''-(1,3,5-triazine-2,4,6-triyltriazanediyl)tris(benzene-1,3-dicarboxylate)",,,,,,,,zinc,['trihydrate]']
JAYXAL,"catena-[dimethylammonium (mu-1,1':4',1''-terphenyl-2',3,3'',5,5''-pentacarboxylato)-aqua-di-zinc(ii) N,N-dimethylformamide solvate]","1,1':4',1''-terphenyl-2',3,3'',5,5''-pentacarboxylate",,,,,,,,cobalt,"['N,N-dimethylformamide', 'solvate]']"
JEBBIE,"catena-(hemikis(ethane-1,2-diammonium) tris(mu-formato)-nickel hemihydrate)",,,,,,,,,tin,"['tris(mu-formato)-nickel', 'hemihydrate)']"
JEBCOJ,catena-(hexakis(mu!3$-Iminodiacetato)-tri-copper(ii)-di-samarium(iii) octahydrate),Iminodiacetate)-tri-(i,,,,,,,,manganese,['octahydrate)']
JEBDOK,catena-(tris(mu!2$-Hydroxo)-tris(mu!2$-oxalato)-triaqua-tri-indium(iii) monohydrate),Hydroxo,oxalate,,,,,,,silver,['monohydrate)']
JECFOP,"catena-[(mu-4,4'-(diazenediyl)bis(3-(dinitromethylidene)-2,3-dihydro-1,2,5-oxadiazol-1-yl))-bis(mu-aqua)-di-silver(i)]","4,4'-(diazenediyl)bis(3-(dinitromethylidene)-2,3-dihydro-1,2,5-oxadiazol-1-yl",aqua,,,,,,,yttrium,[]
JEDCEB,"catena-[Tetra-sodium tris(mu!4$-imidazole-4,5-dicarboxylato)-tris(mu!3$-imidazole-4,5-dicarboxylato)-hepta-cadmium(ii) tris(4,4'-bipyridyl) clathrate heptahydrate]","imidazole-4,5-dicarboxylate","imidazole-4,5-dicarboxylate",,,,,,,silver,"[""tris(4,4'-bipyridyl)"", 'clathrate', 'heptahydrate]']"
JEDGAB,catena-[bis(mu!3$-N-(2-Pyrimidinyl)glycinato)-di-silver(i) monohydrate],N-(2-Pyrimidinyl)glycinate,,,,,,,,tin,['monohydrate]']
JEDJAE02,catena-[octakis(mu-aqua)-bis(mu-L-tartrato)-diaqua-manganese-penta-sodium dihydrate],aqua,L-tartrate,,,,,,,samarium,['dihydrate]']
JEDJUY,"catena-((mu!10$-Benzene-1,2,4,5-tetracarboxylato)-(mu!6$-benzene-1,2,4,5-tetracarboxylato)-bis(mu!2$-aqua)-tetra-aqua-di-gadolinium(iii)-di-potassium octahydrate)","u1-Benzene-1,2,4,5-tetracarboxylate","benzene-1,2,4,5-tetracarboxylate",aqua)-tetra-aqua-di-(ii,,,,,,barium,['octahydrate)']
JEDKEJ,"catena-(dodecakis(mu!2$-Cyano-C,N)-dodecacyano-hexakis(bis(2-pyridylmethyl)amine-N,N',N'')-tetra-chromium(iii)-hexa-copper(ii) hexahydrate)","Cyano-C,N)-dodecacyano-hexakis(bis(2-pyridylmethyl)amine-N,N',N'')-tetra-(i",,,,,,,,samarium,['hexahydrate)']
JEDKIP,catena-[1-aminoethan-1-iminium tris(mu-formato)-manganese(ii)],formate,,,,,,,,sodium,[]
JEFGEH,"catena-((mu!3$-9-Allyladenine-N,N',N'')-silver nitrate methanol solvate)","9-Allyladenine-N,N',N''",,,,,,,,cobalt,"['nitrate', 'methanol', 'solvate)']"
JEFROE,"catena-[(mu-{[5-(phosphonomethyl)benzene-1,2,4-triyl]trimethanediyl}tris[hydrogen (phosphonate)])-triaqua-praseodymium(iii) monohydrate]","{[5-(phosphonomethyl)benzene-1,2,4-triyl]trimethanediyl}tris[hydrogen",,,,,,,,cobalt,"['(phosphonate)])-triaqua-praseodymium(iii)', 'monohydrate]']"
JEGQOE,"catena-[(mu-benzene-1,2,4,5-tetracarboxylato)-aqua-di-barium]","benzene-1,2,4,5-tetracarboxylate",,,,,,,,silver,[]
JEGWUQ,"catena-[dimethylammonium (mu-oxanthreno[2,3-d:7,8-d']bis[1,2,3]triazolyl)-(mu-chloro)-dichloro-di-copper(ii) N,N-dimethylformamide solvate hydrate]","oxanthreno[2,3-d:7,8-d']bis[1,2,3]triazolyl",chloro,,,,,,,tin,"['N,N-dimethylformamide', 'solvate', 'hydrate]']"
JEHBEG,"catena-[tetrakis(mu-4,4',4''-(1,3,5-triazine-2,4,6-triyltriazanediyl)tribenzoato)-tris(mu-benzene-1,4-dicarboxylato)-tris(mu-oxido)-dodeca-zinc unknown solvate]","4,4',4''-(1,3,5-triazine-2,4,6-triyltriazanediyl)tribenzoate","benzene-1,4-dicarboxylate",oxido,,,,,,samarium,"['unknown', 'solvate]']"
JEHCUX,catena-(bis(mu-trihydrogen tris(phosphonatomethyl)ammonium)-diaqua-tetra-rubidium),trihydrogentris(phosphonatemethyl)ammonium,,,,,,,,silver,[]
JEHLAK,"catena-((mu!4$-Pimelato-O,O,O',O'',O'',O''')-(mu!3$-hydrogen pimelato-O,O',O'')-aqua-praseodymium monohydrate)","Pimelate-O,O,O',O'',O'',O'''",hydrogen,,,,,,,sodium,"[""pimelato-O,O',O'')-aqua-praseodymium"", 'monohydrate)']"
JEHLEO,catena-[(mu!3$-3-Amidobenzoato)-(mu!3$-3-aminobenzoato)-praseodymium(iii)],3-Amidobenzoate,3-aminobenzoate,,,,,,,tin,[]
JEHPEU,"catena-(bis(mu--1,4-Benzenedicarboxylato)-(mu--1,4-diazabicyclo(2.2.0)octane)-di-cobalt(ii) dimethylformamide solvate monohydrate)","-1,4-Benzenedicarboxylate","-1,4-diazabicyclo(2.2.0)octane",,,,,,,uranium,"['dimethylformamide', 'solvate', 'monohydrate)']"
JEHTOG01,"catena-(tris(mu!2$-1,6-bis(1,2,4-triazol-1-yl)hexane)-zinc(ii) diperchlorate)","1,6-bis(1,2,4-triazol-1-yl)hexane",,,,,,,,manganese,['diperchlorate)']
JEJFOW,"catena-[bis(Dimethylammonium) bis(mu-1,3,5-tris(4-carboxylatophenyl)benzene)-(mu-1,1'-(sulfonyldi(4,1-phenylene))bis(1H-benzimidazole))-di-zinc(ii) N,N-dimethylformamide solvate]","1,3,5-tris(4-carboxylatephenyl)benzene","1,1'-(sulfonyldi(4,1-phenylene))bis(1H-benzimidazole)",,,,,,,zinc,"['N,N-dimethylformamide', 'solvate]']"
JEJKEP,"catena-(bis(mu!3$-2-Hydroxybutane-1,4-dioato)-(mu!2$-4,4'-bipyridine)-di-cobalt(ii) dihydrate)","2-Hydroxybutane-1,4-dioate","4,4'-bipyridine",,,,,,,aluminium,['dihydrate)']
JEJYAB,catena-[hexakis(mu-cyanido)-pentakis(mu-tetrazolato)-cobalt(iii)-tetra-copper(ii) monohydrate],cyanido,tetrazolate)-(ii,,,,,,,copper,['monohydrate]']
JEJYUV,catena-[(mu-3-((4-carboxylatophenyl)methoxy)-5-((4-carboxyphenyl)methoxy)benzoato)-cobalt dihydrate],3-((4-carboxylatephenyl)methoxy)-5-((4-carboxyphenyl)methoxy)benzoat,,,,,,,,samarium,['dihydrate]']
JEKYAC,"catena-(tetrakis(mu-cyano)-(mu-1,2-bis(4-pyridyl)acetylene)-di-gold-iron ethanol solvate)",cyano,"1,2-bis(4-pyridyl)acetylene",,,,,,,dysprosium,"['ethanol', 'solvate)']"
JELMOD,"catena-((mu!4$-Squarato-O,O',O'',O''')-bis(mu!4$-sulfato-O,O,O',O'',O''')-tetra-aqua-di-lanthanum(iii))","Squarate-O,O',O'',O'''","sulfate-O,O,O',O'',O'''",,,,,,,zinc,[]
JELPAS,"catena-(tris(Propane-1,2-diammonium) bis(mu!3$-arsenato-O,O',O'')-hexakis(mu!3$-hydrogen arsenato-O,O',O'')-tris(mu!2$-oxalato-O,O',O'',O''')-hexa-iron)","arsenate-O,O',O''",hydrogen,,,,,,,zinc,"[""arsenato-O,O',O'')-tris(mu!-oxalato-O,O',O'',O''')-hexa-iron)""]"
JEMBUB,"catena-((mu-pyromellitate)-bis(mu-2,6-dimethylpyrazine)-tetra-silver dihydrate)",pyromellitate,"2,6-dimethylpyrazine",,,,,,,cadmium,['dihydrate)']
JEMBUZ,catena-(hexakis(mu!2$-Cyano)-tetra-aqua-dicyano-bis(imidazole-N$3!)-di-manganese(ii)-molybdenum(iv) tetrahydrate),Cyano)-tetra-aqua-dicyano-bis(imidazole-3)-di-(,,,,,,,,manganese,['tetrahydrate)']
JENJEU,"catena-[tris(mu-2,2'-(1,4-phenylene)bis[N-(pyridin-3-yl)acetamide])-bis(mu-but-2-enedioato)-di-cadmium 2,2'-(1,4-phenylene)bis[N-(pyridin-3-yl)acetamide] dihydrate]","2,2'-(1,4-phenylene)bis[N-(pyridin-3-yl)acetamide]",but-2-enedioate,,,,,,,neodymium,"[""2,2'-(1,4-phenylene)bis[N-(pyridin-3-yl)acetamide]"", 'dihydrate]']"
JENNEW,"catena-(bis(mu!2$-5-Chloropyrimidin-2-onato-N,N')-cobalt(ii))","5-Chloropyrimidin-2-onate-N,N'",,,,,,,,nickel,[]
JENQUR,catena-[tetrakis(mu-4-hydrazinobenzoato)-di-zinc tetrahydrate],4-hydrazinobenzoate,,,,,,,,manganese,['tetrahydrate]']
JEQDER,"catena-[(mu-4,4'-[pyridine-2,6-diylbis(carbonylazanidediyl)]dibenzoato)-(mu-hydrogen 4,4'-[pyridine-2,6-diylbis(carbonylazanediyl)]dibenzoato)-octa-aqua-cobalt(iii)-di-nickel(ii) unknown solvate tetrahydrate]","4,4'-[pyridine-2,6-diylbis(carbonylazanidediyl)]dibenzoate","hydrogen4,4'-[pyridine-2,6-diylbis(carbonylazanediyl)]dibenzoate)-octa-aqua-(ii",,,,,,,europium,"['unknown', 'solvate', 'tetrahydrate]']"
JEQMUO,"catena-(Dioxonium bis(mu!7$-phosphato)-bis(mu!5$-phosphato)-bis(mu!4$-phosphato)-bis(mu!3$-hydrogen phosphato)-hexakis(mu!3$-oxo)-hexakis(mu!2$-hydroxo)-hexakis(mu!2$-oxo)-diaqua-tetrakis(2,2'-bipyridine-N,N')-dodecaoxo-dodeca-molybdenum(v)-hepta-zinc hexahydrate)",phosphate,phosphate,phosphate,hydrogen,,,,,copper,"[""phosphato)-hexakis(mu!-oxo)-hexakis(mu!-hydroxo)-hexakis(mu!-oxo)-diaqua-tetrakis(2,2'-bipyridine-N,N')-dodecaoxo-dodeca-molybdenum(v)-hepta-zinc"", 'hexahydrate)']"
JERXAI,"silver amino-mu-(1,1-bis(hydroxy)-3,3-bis(hydroxy)triazanato)dihydroxydiargentate",,,,,,,,,manganese,[]
JESCEQ,catena-((mu!8$-p-xylylenediphosphonato)-diaqua-di-cobalt),p-xylylenediphosphonate,,,,,,,,potassium,[]
JESTEJ,"catena-[bis(mu-4,4'-sulfonyldibenzoato)-bis(mu-N'-[(pyridin-4-yl)methylidene]pyridine-4-carbohydrazide)-di-cadmium(ii)]","4,4'-sulfonyldibenzoate",N'-[(pyridin-4-yl)methylidene]pyridine-4-carbohydrazide,,,,,,,zinc,[]
JETHUO,"catena-((mu-5-nitroisophthalato)-(mu-1,1'-(pentane-1,5-diyl)bis(1H-benzimidazole))-cobalt)",5-nitroisophthalate,"1,1'-(pentane-1,5-diyl)bis(1H-benzimidazole)",,,,,,,zinc,[]
JETJOI,"catena-(Dimethylammonium bis(mu!5$-benzene-1,3-dicarboxylato)-sodium(i)-zinc(ii))","benzene-1,3-dicarboxylate)-(",,,,,,,,cadmium,[]
JETQOP,"catena-((mu!4$-Iodo)-tris(mu!3$-3,5-dimethyl-1,2,4-triazol-1,2,4-triyl)-tetra-copper)",Iodo,"3,5-dimethyl-1,2,4-triazol-1,2,4-triyl",,,,,,,vanadium,[]
JETVOW,"catena-[(mu-4,4'-dioxido[1,1'-biphenyl]-3,3'-dicarboxylato)-di-zinc(ii)]","4,4'-dioxido[1,1'-biphenyl]-3,3'-dicarboxylate",,,,,,,,manganese,[]
JETZAK,"catena-(tris(mu!4$-4,4'-Biphenyldicarboxylato)-tetrakis(dimethylformamide)-tri-magnesium bis(dimethylformamide) clathrate)","4,4'-Biphenyldicarboxylate)-tetrakis(dimethylformamid",,,,,,,,zinc,"['bis(dimethylformamide)', 'clathrate)']"
JETZEQ,"catena-((mu-3,3,6,6,9,9-hexamethyl-3,4,8,9-tetrahydro-1H-1,4,8,11-benzotetra-azacyclotridecine-2,5,7,10(6H,11H)-tetrone)-cobalt-sodium)","3,3,6,6,9,9-hexamethyl-3,4,8,9-tetrahydro-1H-1,4,8,11-benzotetra-azacyclotridecine-2,5,7,10(6H,11H)-tetron",,,,,,,,zinc,[]
JEVTAG,"catena-((mu!6$-tetramethylphosphono-1,4-diaminobutane)-bis(mu!2$-oxalic acid)-diaqua-di-gadolinium(iii) tetrahydrate)","tetramethylphosphono-1,4-diaminobutane",oxalic,,,,,,,zinc,"['acid)-diaqua-di-gadolinium(iii)', 'tetrahydrate)']"
JEVZAO,"catena-[tetrakis(mu-pyrazine-2,3-dicarboxylato)-hexaaqua-cobalt-di-neodymium dihydrate]","pyrazine-2,3-dicarboxylate",,,,,,,,gadolinium,['dihydrate]']
JEVZUG,"catena-((mu!4$-3-Pyridylphosphonato-kappa$4!-N,O,O',O'')-cobalt(ii))","3-Pyridylphosphonate-kapp4-N,O,O',O''",,,,,,,,copper,[]
JEWXER,"catena-(tris(mu-4-[(pyrazole-4-carbonyl)amino]benzoato)-diaqua-tri-cadmium(ii) N,N-dimethylformamide unknown solvate)",4-[(pyrazole-4-carbonyl)amino]benzoate,,,,,,,,neodymium,"['N,N-dimethylformamide', 'unknown', 'solvate)']"
JEXLEG,"catena-((mu-benzene-1,2,3,5-tetracarboxylato)-tetra-silver)","benzene-1,2,3,5-tetracarboxylate",,,,,,,,tin,[]
JEXPEI,"catena-((mu!8$-1,2-ethylenediphosphonato)-diaqua-di-nickel(ii))","1,2-ethylenediphosphonate",,,,,,,,gadolinium,[]
JEXSOV,catena-((mu!4$-oxalato)-bis(mu!4$-nitrato)-bis(mu!3$-oxalato)-(mu!2$-oxalato)-dihydroxo-diaqua-tetra-neodymium(iii) pentahydrate),oxalate,nitrate,oxalate,oxalate,,,,,lanthanum,['pentahydrate)']
JEXWOZ03,catena-[ammonium tris(mu-formato)-manganese],formate,,,,,,,,copper,[]
JEXWOZ04,catena-[Ammonium tris(mu!2$-formato)-manganese(ii)],formate,,,,,,,,zinc,[]
JEXWOZ,catena-(ammonium tris(mu!2$-formato)-manganese(ii)),formate,,,,,,,,zinc,[]
JICHOV,catena-[bis(mu-carbonato)-tetrakis(mu-oxalato)-tetra-aqua-tetra-gadolinium(iii) hexahydrate],carbonate,oxalate,,,,,,,zinc,['hexahydrate]']
JICXAX,"catena-((mu-5,5'-azotetrazolate)-(2,2'-bipyridine)-zinc monohydrate)","5,5'-azotetrazolate)-(2,2'-bipyridin",,,,,,,,cobalt,['monohydrate)']
JIDKIT,"catena-((mu-biphenyl-3,3',5,5'-tetracarboxylato)-bis(mu-2H-tetrazole)-di-zinc(ii) dimethylformamide methanol solvate)","biphenyl-3,3',5,5'-tetracarboxylate",2H-tetrazole,,,,,,,nickel,"['dimethylformamide', 'methanol', 'solvate)']"
JIDRUM,"catena-(dimethylammonium tetrakis(mu-5,5'-[propane-1,3-diylbis(oxy)]bis(benzene-1,3-dicarboxylato))-hexa-aqua-bis(dimethylacetamide)-penta-europium(iii) dimethylacetamide solvate)","5,5'-[propane-1,3-diylbis(oxy)]bis(benzene-1,3-dicarboxylate))-hexa-aqua-bis(dimethylacetamid",,,,,,,,cobalt,"['dimethylacetamide', 'solvate)']"
JIFGAJ,"catena-(tris(mu-5-(1H-1,2,4-triazol-1-yl)benzene-1,3-dicarboxylato)-bis(dimethylformamide)-tri-cadmium(ii))","5-(1H-1,2,4-triazol-1-yl)benzene-1,3-dicarboxylate)-bis(dimethylformamid",,,,,,,,cerium,[]
JIFGEN,"catena-((mu-3,3'-azobis(pyridine))-(mu-naphthalene-1,4-dicarboxylato)-cadmium(ii) unknown solvate)","3,3'-azobis(pyridine)","naphthalene-1,4-dicarboxylate",,,,,,,cadmium,"['unknown', 'solvate)']"
JIHPIC,"catena-[bis(mu-thiophene-2,5-dicarboxylato)-bis(mu-1-(1H-imidazol-1-ylmethyl)-1H-imidazole)-di-cobalt(ii) N,N-dimethylformamide solvate]","thiophene-2,5-dicarboxylate",1-(1H-imidazol-1-ylmethyl)-1H-imidazol,,,,,,,neodymium,"['N,N-dimethylformamide', 'solvate]']"
JIHROH,catena(bis(mu!3$-Tricyanomethane-N)-zinc),Tricyanomethane-N,,,,,,,,manganese,[]
JIHTEC,"catena-[(mu-,5-dihydroxybenzene-1,4-dicarboxylato)-bis(mu-5-[4-(1H-imidazol-5-yl)phenyl]-tetrazolato)-di-zinc(ii)]",",5-dihydroxybenzene-1,4-dicarboxylate",5-[4-(1H-imidazol-5-yl)phenyl]-tetrazolate,,,,,,,molybdenum,[]
JIJLIA,"catena-(tetrakis(mu-4,4'-bibenzoic acid-2,2'-sulfone)-hexakis(mu-hydroxo)-diaqua-hepta-zinc decahydrate)","4,4'-bibenzoicacid-2,2'-sulfone",hydroxo,,,,,,,lanthanum,['decahydrate)']
JIJTOO,"catena-((mu-2$5!,3$5!-dibromo-2$4!,3$6!-dihydroxy-2$2!,3$2!-dimethyl[1$1!,2$1!:2$3!,3$1!:3$3!,4$1!-quaterphenyl]-1$3!,1$5!,4$3!,4$5!-tetracarboxylato)-aqua-bis(dimethylformamide)-di-cadmium 1-(4-bromophenyl)ethan-1-one heptahydrate)","5,5-dibromo-4,6-dihydroxy-2,2-dimethyl[1,1:3,1:3,1-quaterphenyl]-3,5,3,5-tetracarboxylate)-aqua-bis(dimethylformamid",,,,,,,,molybdenum,"['1-(4-bromophenyl)ethan-1-one', 'heptahydrate)']"
JIQQAE,"catena-[(2,5-dibromobenzene-1,4-dicarboxylato)-(mu-1,1'-butane-1,4-diylbis(2-methyl-1H-imidazole))-zinc(ii) trihydrate]","1,1'-butane-1,4-diylbis(2-methyl-1H-imidazole)",,,,,,,,copper,['trihydrate]']
JIQSOS,"catena-[bis(mu!3$-Cyano-C,N,N)-(mu!3$-1,4,5,8,9,12-hexa-azatriphenylene)-dicyano-tetra-aqua-ruthenium(ii)-di-sodium(i)]","Cyano-C,N,N","1,4,5,8,9,12-hexa-azatriphenylene)-dicyano-tetra-aqua-(i",,,,,,,zinc,[]
JIRGOJ,"catena-[bis(mu-4,6-bis(1H-imidazol-1-yl)-2-oxo-2H-1,3,5-triazin-5-ide)-cobalt N,N-dimethylacetamide unknown solvate trihydrate]","4,6-bis(1H-imidazol-1-yl)-2-oxo-2H-1,3,5-triazin-5-id",,,,,,,,zinc,"['N,N-dimethylacetamide', 'unknown', 'solvate', 'trihydrate]']"
JIRKUT,"catena-[bis(mu-bis[2,3-dihydroxybutanedioato]borate)-octaaqua-penta-cadmium trihydrate]","bis[2,3-dihydroxybutanedioate]borate",,,,,,,,zinc,['trihydrate]']
JISJUT,"catena-[tetrakis(mu-benzene-1,4-dicarboxylato)-bis(mu-4,4'-(ethane-1,2-diyl)bis(4H-1,2,4-triazole))-tetra-zinc(ii)]","benzene-1,4-dicarboxylate","4,4'-(ethane-1,2-diyl)bis(4H-1,2,4-triazole)",,,,,,,vanadium,[]
JISMEG,"catena-[(mu-2-oxybenzene-1,3,5-tricarboxylato)-(mu-aqua)-(aqua)-di-zinc(ii) N,N-dimethylformamide solvate hydrate]","2-oxybenzene-1,3,5-tricarboxylate",aqua)-(aqu,,,,,,,cobalt,"['N,N-dimethylformamide', 'solvate', 'hydrate]']"
JISMUW,"catena-[bis(mu-4,4',4''-[benzene-1,3,5-triyltris(oxy)]tribenzoato)-(mu-4,4'-bipyridine)-tri-zinc(ii) N,N-dimethylformamide solvate trihydrate]","4,4',4''-[benzene-1,3,5-triyltris(oxy)]tribenzoate","4,4'-bipyridine",,,,,,,vanadium,"['N,N-dimethylformamide', 'solvate', 'trihydrate]']"
JISQAG,"catena-[(mu-2-oxido-3,5-dinitrobenzoato)-(mu-tetrazolyl)-(mu-aqua)-di-copper]","2-oxido-3,5-dinitrobenzoate",tetrazolyl,aqua,,,,,,cobalt,[]
JISQOU,"catena-[(mu-4,4',4''-(pyridine-1,3,5-triyl)tripyridine)-(mu-benzene-1,3-dicarboxylato)-zinc]","4,4',4''-(pyridine-1,3,5-triyl)tripyridine","benzene-1,3-dicarboxylate",,,,,,,manganese,[]
JISROV,"catena-[(mu-4,4',4''-{2-[(pyridin-4-yl)ethynyl]benzene-1,3,5-triyl}tripyridine)-bis(isothiocyanato)-cobalt unknown solvate]","4,4',4''-{2-[(pyridin-4-yl)ethynyl]benzene-1,3,5-triyl}tripyridine)-bis(isothiocyanat",,,,,,,,cadmium,"['unknown', 'solvate]']"
JISSEK,catena-((mu!6$-2-phosphonatoethanesulfonato)-aqua-samarium(iii)),2-phosphonateethanesulfonate,,,,,,,,manganese,[]
JISVAJ,"catena-((mu!4$-2,2'-bipyridine-4,4'-dicarboxylato-O,O,O',O'',O'',O''')-(mu!4$-2,2'-bipyridine-4,4'-dicarboxylato-O,O',O'',O''')-(mu!2$-2,2'-bipyridine-4,4'-dicarboxylato-O,O',O'',O''')-tetrakis(dimethyl sulfoxide-O)-di-europium(iii) hexahydrate)","2,2'-bipyridine-4,4'-dicarboxylate-O,O,O',O'',O'',O'''","2,2'-bipyridine-4,4'-dicarboxylate-O,O',O'',O'''","2,2'-bipyridine-4,4'-dicarboxylate-O,O',O'',O'''",,,,,,copper,"['sulfoxide-O)-di-europium(iii)', 'hexahydrate)']"
JITDUM,"catena-[(mu!4$-5,10,15,20-tetrakis(4-Pyridyl)porphyrinato)-bis(mercapto)-cadmium(ii)]","5,10,15,20-tetrakis(4-Pyridyl)porphyrinate",,,,,,,,copper,[]
JITJAA,"catena-[bis(dimethylammonium) tetrakis(mu-3'-nitro[1,1'-biphenyl]-3,4',5-tricarboxylato)-tetrakis(mu-hydroxo)-bis(aqua)-hepta-zinc(ii) N,N-dimethylformamide solvate]","3'-nitro[1,1'-biphenyl]-3,4',5-tricarboxylate",hydroxo)-bis(aqu,,,,,,,terbium,"['N,N-dimethylformamide', 'solvate]']"
JITPOS,"catena-(bis(mu!4$-2-sulfonylterephthalato)-hexakis(mu!3$-hydroxo)-tris(mu!2$-4,4'-bipyridine)-diaqua-hexa-zinc(ii) diethanol tetrahydrate clathrate)",2-sulfonylterephthalate,hydroxo,"4,4'-bipyridine",,,,,,manganese,"['diethanol', 'tetrahydrate', 'clathrate)']"
JITQEJ,"catena-(bis(mu!3$-D-Camphorato-O,O,O',O'',O''')-triaqua-di-cadmium(ii))","D-Camphorate-O,O,O',O'',O'''",,,,,,,,nickel,[]
JIVFUQ,"catena-((mu!4$-1,4-Dihydroxybenzene-2,5-diphosphonato)-zinc(ii) bis(N,N-dimethylformamide) clathrate)","1,4-Dihydroxybenzene-2,5-diphosphonate",,,,,,,,cadmium,"['bis(N,N-dimethylformamide)', 'clathrate)']"
JIWKUW,"catena-[(mu!5$-N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinato))-bis(mu!4$-N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinato))-(mu!3$-N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinato))-tetrakis(mu!2$-aqua)-hepta-aqua-tetra-sodium-tetra-terbium(iii) hydrate]","N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinate)","N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinate)","N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinate)",aqua,,,,,cadmium,['hydrate]']
JIWSEQ,"catena-[bis(dimethylammonium) (mu-2$2!,2$3!,2$5!,2$6!-tetramethyl[1$1!,2$1!:2$4!,3$1!-terphenyl]-1$4!,3$4!-dicarboxylato)-bis(mu-hydrogen phosphonato)-di-zinc(ii)]","2,3,5,6-tetramethyl[1,1:4,1-terphenyl]-4,4-dicarboxylate",hydrogen,,,,,,,sodium,['phosphonato)-di-zinc(ii)]']
JIXWUJ,"catena-[dodecakis(mu!3$-Formato-O,O,O')-hexa-manganese bis(ethanol) clathrate]","Formate-O,O,O'",,,,,,,,zinc,"['bis(ethanol)', 'clathrate]']"
JIYBEB,"catena-[(mu-5,5',5''-(methylsilanetriyl)tris(benzene-1,3-dicarboxylato))-bis(mu-hydroxo)-hexa-aqua-tetra-nickel(ii) N,N-dimethylacetamide solvate dihydrate]","5,5',5''-",hydroxo,,,,,,,cobalt,"['N,N-dimethylacetamide', 'solvate', 'dihydrate]']"
JIYBIF,"catena-[bis(mu-3,5-dicarboxylato-pyrazolato)-bis(mu-5-amino-tetrazolato)-tetra-aqua-tetra-zinc(ii) unknown solvate]","3,5-dicarboxylate-pyrazolate",5-amino-tetrazolate,,,,,,,lanthanum,"['unknown', 'solvate]']"
JIYBUR,"catena-[bis(mu-2,2'-[cyclohexane-1,2-diylbis(azanylylidenemethylylidene)]bis[6-t-butyl-4-(pyridin-4-yl)phenolato])-bis(mu-benzene-1,4-dicarboxylato)-di-cadmium(ii)-di-nickel(ii) N,N-dimethylacetamide solvate]","2,2'-[cyclohexane-1,2-diylbis(azanylylidenemethylylidene)]bis[6-t-butyl-4-(pyridin-4-yl)phenolate]","benzene-1,4-dicarboxylate)-di-(i",,,,,,,copper,"['N,N-dimethylacetamide', 'solvate]']"
JIYKUA,"catena-[bis(mu-4,4',4''-[6-(4-carboxyphenyl)pyrazine-2,3,5-triyl]tribenzoato)-hexa-aqua-tri-strontium(ii) unknown solvate]","4,4',4''-[6-(4-carboxyphenyl)pyrazine-2,3,5-triyl]tribenzoate",,,,,,,,erbium,"['unknown', 'solvate]']"
JIYXIB,"catena-(tetrakis(mu-5-nitrobenzene-1,2,3-tricarboxylato)-tris(mu-4,4'-bis(1,2,4-triazol-1-ylmethyl)biphenyl)-bis(mu-aqua)-hexa-cadmium)","5-nitrobenzene-1,2,3-tricarboxylate","4,4'-bis(1,2,4-triazol-1-ylmethyl)biphenyl",aqua,,,,,,copper,[]
JIYZEY,"catena-[(mu!4$-N,N'-di(pyridin-3-yl)terephthalamide)-bis(mu!3$-naphthalene-1,4-dicarboxylato)-di-cadmium]","N,N'-di(pyridin-3-yl)terephthalamide","naphthalene-1,4-dicarboxylate",,,,,,,cadmium,[]
JIZJAF,"catena-[bis(mu!3$-4-(pyridin-4-yl)benzoato)-bis(mu!3$-2-oxypropanoato)-tri-cobalt N,N-dimethylformamide solvate]",4-(pyridin-4-yl)benzoate,2-oxypropanoate,,,,,,,praseodymium,"['N,N-dimethylformamide', 'solvate]']"
JIZKIO,"catena-((mu!2$-4,4'-Hydrazine-1,2-diyldipyridine)-(mu!2$-succinato)-zinc)","4,4'-Hydrazine-1,2-diyldipyridine",succinate,,,,,,,zinc,[]
JIZROB,"catena-(pentakis(mu!2$-Oxo)-(mu!2$-1,1'-(1,3-phenylene)bis(1H-imidazole))-oxo-cobalt-di-vanadium)",Oxo,"1,1'-(1,3-phenylene)bis(1H-imidazole)",,,,,,,sodium,[]
JIZWAS,"catena-[bis(mu!4$-cyclohexane-1,4-dicarboxylato)-di-aluminium]","cyclohexane-1,4-dicarboxylate",,,,,,,,neodymium,[]
JOBBUZ,"catena-[bis(mu-2,2'-bipyridine-3,3'-dicarboxylato)-europium-silver]","2,2'-bipyridine-3,3'-dicarboxylate",,,,,,,,sodium,[]
