code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
BEGPUB,"catena-[tris(mu-N,N'-bis((S)-2-propanoato)oxamide)-(mu-aqua)-bis(mu-hydroxy)-calcium(ii)-hexa-copper(ii) hydrate]","N,N'-bis((S)-2-propanoate)oxamid",aqua,hydroxy)-(i,,,,,,sodium,['hydrate]']
BEHNAF,"catena-[(mu!2$-1,1'-Methylenebis(1H-benzotriazole)-N$3!,N'$3!)-(mu!2$-nitrato-O,O':O')-(nitrato-O)-copper(ii)]","1,1'-Methylenebis(1H-benzotriazole)-3,N","nitrate-O,O':O')-(nitrate-",,,,,,,silver,[]
BEJYOH,"catena-[(mu-4-(1H-imidazol-1-yl)-N,N-bis[4-(pyridin-4-yl)phenyl]aniline)-(mu-benzene-1,2,4-tricarboxylato)-nitrito-di-zinc(ii) hydrate]","4-(1H-imidazol-1-yl)-N,N-bis[4-(pyridin-4-yl)phenyl]anilin","benzene-1,2,4-tricarboxylate",,,,,,,tungsten,['hydrate]']
BEKQUG,"catena-((mu-terephthalato)-bis(mu-1,2,4-triazolato)-di-zinc dimethylformamide solvate hydrate)",terephthalate,"1,2,4-triazolate",,,,,,,zirconium,"['dimethylformamide', 'solvate', 'hydrate)']"
BEKVOD,catena-(bis(mu!2$-Pyrimidin-4-olato)-zinc(ii)),Pyrimidin-4-olate,,,,,,,,zinc,[]
BEKYOG,catena-(tetrakis(mu!5$-Oxalato)-bis(mu!4$-oxalato)-hexaaqua-di-chromium-hexa-silver),Oxalate,oxalate,,,,,,,manganese,[]
BELJIL,catena-[(mu!3$-Pyridoxylidene-DL-valinato)-copper(ii) dihydrate],Pyridoxylidene-DL-valinate,,,,,,,,sodium,['dihydrate]']
BELQAN,catena-[bis(mu-5-((4-(pyridin-3-yl)benzene-1-carbonyl)amino)isophthalato)-triaqua-di-manganese hydrate],5-((4-(pyridin-3-yl)benzene-1-carbonyl)amino)isophthalate,,,,,,,,silver,['hydrate]']
BELTOD,"catena-((mu!7$-4,4',4''-phosphoryltribenzoato)-(mu!6$-4,4',4''-phosphoryltribenzoato)-diaqua-(N,N-dimethylformamide)-tri-manganese N,N-dimethylformamide solvate tetrahydrate)","4,4',4''-phosphoryltribenzoate","4,4',4''-phosphoryltribenzoate)-diaqua-(N,N-dimethylformamid",,,,,,,dysprosium,"['N,N-dimethylformamide', 'solvate', 'tetrahydrate)']"
BELXUN,"catena-(bis(mu!4$-1H,1'H-2,2'-Biimidazol-1-ylacetato)-di-cadmium monohydrate)","1H,1'H-2,2'-Biimidazol-1-ylacetate",,,,,,,,zinc,['monohydrate)']
BELYIC,catena-(hexakis(mu!2$-acetato)-hexakis(methanol)-tri-magnesium),acetate,,,,,,,,dysprosium,[]
